,ORIGIN,DEST,MEAN_ELAPSED_TIME,NUM_TRAVEL
0,ABE,ATL,125.76,89
1,ABE,CLT,127.39,89
2,ABE,DTW,106.86,85
3,ABE,FLL,166.0,4
4,ABE,MYR,93.18,22
5,ABE,ORD,135.08,60
6,ABE,PGD,157.71,14
7,ABE,PHL,44.43,96
8,ABE,PIE,156.07,15
9,ABE,SFB,144.95,40
10,ABI,DFW,61.34,181
11,ABQ,ATL,186.12,93
12,ABQ,AUS,103.17,36
13,ABQ,BWI,222.94,63
14,ABQ,DAL,102.35,147
15,ABQ,DEN,78.9,262
16,ABQ,DFW,110.09,242
17,ABQ,HOU,123.31,89
18,ABQ,IAH,127.29,103
19,ABQ,JFK,243.84,31
20,ABQ,LAS,91.56,133
21,ABQ,LAX,121.96,242
22,ABQ,MCI,110.97,31
23,ABQ,MCO,218.77,13
24,ABQ,MDW,158.83,64
25,ABQ,MSP,158.13,31
26,ABQ,OAK,143.41,85
27,ABQ,ORD,175.7,104
28,ABQ,PDX,173.93,58
29,ABQ,PHX,81.83,302
30,ABQ,SAN,112.74,93
31,ABQ,SAT,99.0,5
32,ABQ,SEA,187.66,61
33,ABQ,SFO,158.82,120
34,ABQ,SJC,140.0,4
35,ABQ,SLC,95.88,89
36,ABQ,SNA,117.2,40
37,ABR,MSP,75.0,62
38,ABY,ATL,61.45,89
39,ACK,BOS,46.76,50
40,ACK,CLT,158.5,4
41,ACK,DCA,105.12,58
42,ACK,EWR,92.0,93
43,ACK,JFK,68.3,137
44,ACK,LGA,83.23,48
45,ACT,DFW,54.67,148
46,ACV,LAX,107.71,31
47,ACV,SFO,70.42,127
48,ACY,ATL,129.52,31
49,ACY,FLL,159.03,62
50,ACY,MCO,138.35,62
51,ACY,MSY,170.5,18
52,ACY,MYR,84.0,31
53,ACY,RSW,158.52,31
54,ACY,TPA,143.97,31
55,ADK,ANC,169.11,9
56,ADQ,ANC,56.67,57
57,AEX,ATL,110.25,120
58,AEX,DFW,84.56,93
59,AEX,IAH,65.88,89
60,AGS,ATL,63.88,234
61,AGS,CLT,65.63,186
62,AKN,ANC,58.0,4
63,ALB,ATL,154.0,89
64,ALB,BWI,74.38,177
65,ALB,CLT,134.76,91
66,ALB,DCA,91.42,119
67,ALB,DEN,248.55,31
68,ALB,DTW,110.06,112
69,ALB,EWR,74.93,150
70,ALB,FLL,190.97,37
71,ALB,IAD,91.99,81
72,ALB,MCO,175.15,66
73,ALB,MDW,131.77,62
74,ALB,MSP,169.0,31
75,ALB,ORD,141.47,197
76,ALB,PHL,76.35,167
77,ALB,TPA,179.68,31
78,ALO,ORD,76.34,58
79,ALW,SEA,62.97,76
80,AMA,DAL,68.55,117
81,AMA,DEN,78.87,61
82,AMA,DFW,79.35,214
83,AMA,IAH,101.89,97
84,AMA,LAS,128.06,31
85,AMA,PHX,130.35,31
86,ANC,ADK,189.22,9
87,ANC,ADQ,59.47,57
88,ANC,AKN,64.0,4
89,ANC,ATL,415.48,31
90,ANC,BET,75.25,71
91,ANC,CDV,47.42,31
92,ANC,DEN,306.31,51
93,ANC,DFW,383.06,31
94,ANC,DLG,72.0,25
95,ANC,DUT,135.0,75
96,ANC,EWR,420.75,4
97,ANC,FAI,58.93,201
98,ANC,HNL,366.42,31
99,ANC,IAH,404.0,20
100,ANC,JNU,98.65,114
101,ANC,LAX,320.55,77
102,ANC,MSP,318.74,85
103,ANC,OME,93.74,35
104,ANC,ORD,366.42,100
105,ANC,OTZ,93.29,58
106,ANC,PDX,214.99,141
107,ANC,PHX,339.43,21
108,ANC,SCC,102.73,62
109,ANC,SEA,207.06,822
110,ANC,SFO,277.84,31
111,ANC,SLC,271.62,21
112,APN,DTW,63.61,31
113,APN,PLN,45.48,23
114,ART,PHL,83.4,62
115,ASE,DEN,56.56,223
116,ASE,DFW,139.1,31
117,ASE,IAH,150.0,21
118,ASE,LAX,139.01,98
119,ASE,ORD,167.79,66
120,ASE,SFO,148.58,31
121,ASE,SLC,76.52,61
122,ATL,ABE,126.73,89
123,ATL,ABQ,192.86,93
124,ATL,ABY,57.82,89
125,ATL,ACY,115.45,31
126,ATL,AEX,103.71,120
127,ATL,AGS,58.42,234
128,ATL,ALB,141.91,89
129,ATL,ANC,468.35,31
130,ATL,ATW,141.89,55
131,ATL,AUS,137.98,350
132,ATL,AVL,62.96,231
133,ATL,AVP,125.87,31
134,ATL,BDL,144.4,207
135,ATL,BHM,54.33,323
136,ATL,BMI,106.82,89
137,ATL,BNA,68.25,436
138,ATL,BOS,156.17,639
139,ATL,BQK,75.29,91
140,ATL,BTR,95.38,208
141,ATL,BTV,156.26,43
142,ATL,BUF,123.4,151
143,ATL,BWI,113.92,649
144,ATL,BZN,242.0,13
145,ATL,CAE,63.67,232
146,ATL,CAK,104.9,89
147,ATL,CHA,53.06,290
148,ATL,CHO,100.56,149
149,ATL,CHS,73.8,329
150,ATL,CID,127.89,89
151,ATL,CLE,109.45,322
152,ATL,CLT,81.59,553
153,ATL,CMH,97.12,337
154,ATL,COS,189.52,44
155,ATL,CRW,87.56,146
156,ATL,CSG,49.02,120
157,ATL,CVG,87.5,262
158,ATL,DAB,82.96,158
159,ATL,DAL,131.22,302
160,ATL,DAY,95.37,122
161,ATL,DCA,108.39,607
162,ATL,DEN,194.48,539
163,ATL,DFW,139.51,615
164,ATL,DHN,64.22,120
165,ATL,DSM,131.97,93
166,ATL,DTW,119.29,499
167,ATL,ECP,66.68,186
168,ATL,ELP,195.7,83
169,ATL,EVV,83.64,92
170,ATL,EWN,92.31,62
171,ATL,EWR,139.52,594
172,ATL,EYW,114.96,124
173,ATL,FAY,81.25,149
174,ATL,FCA,265.5,4
175,ATL,FLL,115.12,748
176,ATL,FNT,120.4,89
177,ATL,FSD,160.87,30
178,ATL,FSM,112.18,62
179,ATL,FWA,107.03,122
