,Airport,Inbound,Outbound
0,ORD,35255,35241
1,ATL,35237,35225
2,DFW,25366,25355
3,DEN,24444,24438
4,LAX,22594,22589
5,CLT,21582,21580
6,SEA,17985,17994
7,SFO,16734,16712
8,DTW,15904,15902
9,LGA,15499,15501
10,MSP,15435,15432
11,IAH,15323,15327
12,PHX,14746,14749
13,EWR,14483,14485
14,LAS,14324,14320
15,PHL,14019,14019
16,BOS,13763,13762
17,DCA,12579,12579
18,JFK,11954,11954
19,MCO,11063,11065
20,SLC,10784,10789
21,BWI,9446,9446
22,SAN,8646,8644
23,PDX,8294,8291
24,IAD,8147,8153
25,MDW,7842,7841
26,FLL,7772,7774
27,MIA,7297,7297
28,BNA,6762,6762
29,STL,6541,6535
30,DAL,6127,6127
31,RDU,6023,6025
32,SJC,5777,5781
33,TPA,5766,5769
34,AUS,5709,5708
35,MCI,5121,5126
36,OAK,5026,5032
37,HOU,4941,4942
38,HNL,4792,4794
39,CVG,4748,4750
40,SMF,4726,4726
41,CLE,4641,4650
42,MSY,4595,4596
43,IND,4464,4465
44,PIT,4415,4414
45,CMH,4178,4178
46,SNA,4032,4032
47,SAT,3699,3698
48,MKE,3160,3162
49,JAX,3028,3027
50,BUF,2732,2734
51,BDL,2728,2728
52,RIC,2608,2606
53,ABQ,2536,2541
54,OMA,2497,2498
55,SDF,2432,2432
56,ORF,2416,2416
57,BUR,2411,2412
58,CHS,2372,2373
59,OKC,2243,2243
60,OGG,2240,2241
61,BOI,2231,2231
62,ANC,2203,2208
63,MEM,2189,2187
64,SJU,2159,2164
65,GEG,1996,1995
66,RNO,1974,1973
67,ONT,1921,1918
68,BHM,1819,1820
69,GRR,1813,1815
70,PVD,1796,1798
71,PBI,1756,1758
72,RSW,1728,1730
73,TYS,1643,1642
74,PWM,1635,1635
75,ROC,1627,1628
76,SAV,1625,1623
77,TUL,1616,1614
78,ELP,1612,1613
79,DAY,1567,1567
80,SYR,1531,1531
81,DSM,1515,1514
82,LGB,1498,1498
83,MSN,1486,1486
84,MYR,1476,1476
85,GSO,1466,1466
86,GSP,1457,1456
87,TUS,1444,1444
88,ALB,1441,1441
89,KOA,1327,1358
90,LIH,1298,1298
91,LIT,1296,1299
92,XNA,1256,1255
93,BTV,1129,1130
94,FAT,1107,1107
95,LEX,1090,1090
96,MHT,1078,1079
97,PNS,1073,1073
98,HPN,1046,1045
99,ICT,1019,1020
100,COS,1003,1001
101,HSV,954,954
102,MDT,924,924
103,CAE,881,881
104,SGF,873,872
105,CID,871,872
106,CHA,855,855
107,BZN,849,852
108,VPS,821,821
109,ILM,812,811
110,MFR,806,793
111,MAF,784,784
112,EUG,763,767
113,RDM,748,748
114,AVL,736,736
115,CAK,731,732
116,CHO,720,719
117,FSD,716,716
118,JAN,714,715
119,SFB,714,714
120,BTR,685,686
121,MSO,676,676
122,SBA,676,676
123,SBN,672,672
124,TVC,660,662
125,RAP,643,643
126,ROA,643,642
127,FWA,640,640
128,BGR,635,635
129,PIE,592,592
130,MOB,589,589
131,LBB,587,587
